Timestamp,People Count,Limit Threshold,Density Level,Overcrowded,Zone Distribution
2026-06-15 10:28:49,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:28:51,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:28:53,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:28:55,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:28:57,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:1,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:28:59,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:01,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:04,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:06,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:0,Zone R2C3:0,Zone R3C1:0,Zone R3C2:1,Zone R3C3:0"
2026-06-15 10:29:08,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:10,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:12,1,8,Low,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:0,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:14,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:1,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:16,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:1,Zone R3C2:0,Zone R3C3:0"
2026-06-15 10:29:18,2,8,Medium,0,"Zone R1C1:0,Zone R1C2:0,Zone R1C3:0,Zone R2C1:0,Zone R2C2:1,Zone R2C3:0,Zone R3C1:1,Zone R3C2:0,Zone R3C3:0"
